,,ПСД,,,Программа,,,Проверка,,
id,Название алгоритма,Дата завершения,Статус,Ответственный,Дата завершения,Статус,Ответственный,Дата завершения,Статус,Ответственный
5,Узел реагентного хозяйства,20.12.2024,Зарегистрировано,Васнихин Игорь,27.12.2024,Зарегистрировано,Васнихин Игорь,,Зарегистрировано,
6,Установка флотации,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
7,Емкости усреднители E0/1-2 с насососами НО /1-2,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
8,Узел дозирования коагулянта,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
9,Узел дозирования флокулянта,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
10,Узел дозирования едкого натра,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
11,Тонкослойный отстойник ОТ1/1-2,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
12,Емкость С0 с насосом Нсо1,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
13,Фильтр пресс ФП1 с ленточным транспортером,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
14,Резервуар Е50 с насосным агрегатом Н50/ 1-2,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
15,Фильтр с зернистой загрузкой Ф31/1-6,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
16,Емкость Е5 с насосом н5/1 и воздуходувкой В3/1,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
17,Емкость Е7 с насосом н6/1,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
18,Емкость Е8 с насосом н8/1,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
19,Резервуары осветленной воды Е6 с насосом н6/1,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
20,Установка обратного осмоса 1-ступени,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
21,Установка дозирования ингибитора,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
22,Установка химической очистки ОММ1,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
23,Резервуар вертикальный 4137.10-ТК-105А/В,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
24,Насосная станция подачи декарбонизованной воды на УОО 2-ступени 4137.10-P-117А/В/С,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
25,Установка УОО 2-ступени 4137.10-U-102-A-Е,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
26,Установка обратного осмоса 3 ступени,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
27,Установка обратного осмоса 4 ступени,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
28,Установка обратного осмоса 5 ступени,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
29,Узел окисления по методу Фентона,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
30,Установка электрофлотодеструкции,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
31,Установка сорбционной очистки в адсорберах первой ступени,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
32,Установка ионного обмена,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
33,Установка сорбционной очистки в адсорберах второй ступени,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
34,Узел выпаривания солевого конценрата,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
35,Установка регенеративного термического окисления,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
36,Установка хранения 40 % едкого натра,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
37,Установка хранения 14 % серной кислоты,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
38,Узел приема и хранения 40 % хлорного железа,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
39,Узел приема и хранения 10 % хлорного железа,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
40,"Узео приготовления 0,1% раствора флокулянта",,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
41,Узел приема и хранения 35% перекиси водорода,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
42,Узел приготовления 5 % сернокислого железа,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
43,Узел приготовления ингибитора,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
44,Узел пригтовления приполифосфата натрия и лимонной кислоты,,Зарегистрировано,,,Зарегистрировано,,,Зарегистрировано,
