id,Шкаф,Дата,Автор,Ответственный,Текст замечания
608,,12.11.2024,Захаров,ЭПК,"Поставленный шкаф 3JB004 не соответствует рабочей документации АСПА-КБ-297.22-2-7-АТХ л. 4.18 (по документации в клеммнике XT2 16 клемм, по факту - 10)"
609,7-ПАЗ.1,12.11.2024,Никулин,ЭПК,"АСПА-КБ-297.22-2-7-АТХ_изм.3 ОБЩИЙ л. 6.10, кабель: C-ШС5.2-1. В шкафу 7-ШС5.2 Отсутствует клеммник  X3 для H10/1"
610,7-ПАЗ.2,12.11.2024,Захаров,ЭПК,Обозначение клемм в шкафу 11JBZ001 не соответствует обозначению в документации АСПА-КБ-297.22-2-7-АТХ л. 12.8
611,7-ПАЗ.2,12.11.2024,Никулин,ЭПК,"АСПА-КБ-297.22-2-7-АТХ_изм.3 ОБЩИЙ л. 9.35, кабель: C-ШС8.2-2. В шкафу 7-ШС8.2 Отсутствует клеммник  X3 для ВАК1/1, ВАК1/2"
613,,13.11.2024,Никулин,ЭПК,"АСПА-КБ-297.22-2-7-АТХ_изм.3 ОБЩИЙ л. 20.36, кабель: C-ШС19.2-1. В шкафу 7-ШС19.2 Отсутствует клеммник  X3 для H15/1, H15/2, HД17/1, HД19/1, H16/1, H16/2, Hэфд1 "
614,,13.11.2024,Никулин,ЭПК,"АСПА-КБ-297.22-2-7-АТХ_изм.3 ОБЩИЙ л. 20.36, кабель: C-ШС19.2-2. В шкафу 7-ШС19.2 Отсутствует клеммник  X3 для ВАК1/1, ВАК1/2, H20/1, H20/2"
619,,15.11.2024,Захаров,Энергострой,В шкафу ШС отсутствует клеммная коробка X3. Аналогичной ей также нет
621,,15.11.2024,Баковкин,Энергострой,"Монтаж клемных рядов коробок 24.1JB001, 24.1JB002, 24.1JB003, 24.1JB004, 24.1JB005 не соответствует проектной документации АСПА-КБ-297.22-2-7-АТХ"
668,,25.11.2024,Ларигин,Энергострой,"Сигналы в шкаф 7-ШС24.1 ""приходят"" от полевого оборудования через клемные коробки 24.3JB004, 24.3JB005, которые отсутствуют."
752,,04.12.2024,Буторин,"Урал Энергострой
Рашид","Позиция 3КШЭ8 и 3КШЭ9 есть в КД ООО ""АДВЕНГА"", управление по L.
(В базе ЗРА написано, что в РКД ООО ""АДВЕНГА"" отсуствуют данные позиции)"
757,,05.12.2024,Буторин,"Урал Энергострой
Рашид",Управление позиции 5зпэ6 (7-ШС5.1) по L или N ?
758,,05.12.2024,Буторин,"Урал Энергострой
Рашид","База по РЗА позиция 5зпэ6 (7-ШС5.1) по документации ООО ""АДВЕНГА""  упраляется по N (как и по документации АСП аква)"
811,,16.12.2024,Баковкин,"Урал Энергострой
Рашид","Требуется уточнение подключения кабелей: C-AX1_1-3 к шкафам AX1-A, AX1-B"
812,,16.12.2024,Баковкин,"Урал Энергострой
Рашид","Отсутствует возможность подключения кабелей от ШС9.1 до ШС9.2 для подключения НП11 согласно АСПА-КБ-297.22-2-7-АТХ (лист 10.12)
Не предусмотрен клеммный ряд в шкафу ШС9.2"
